Navn,Skuespiller,Beskrivelse
Abraham Mamrelund,Sebastian Dorset,Starfucker.
Alf Bats,Lasse Rimmer,Kedelbruger med hang til hyng.
Alfonso Trendy,Frank Hvam,"Har glemt, hvorfor han er kommet i studiet. Trendy besøger Casper i studiet over flere omgange. I hans første medvirken har både Casper og Alfonso glemt hvorfor Casper havde inviteret ham. De prøver i fællesskab, at komme frem til et svar og finde ud af hvad det er Alfonso kan, vil gøre eller har gjort. De diskuterer om det er fordi han har sprunget i faldskærm, udgivet en plade eller om det måske er fordi han kan lave plastic om til guld. Dog er ingen af disse ting det som Alfonso kom i studiet for. Fjorten dage efter har Casper igen inviteret Alfonso i og med, at Casper og Alfonso nu er kommet i tanker om, at Alfonso er kommet for at fortælle om hans rejseoplevelser. Men Alfonso har glemt hvor det var han var rejst hen efter, at han var blevet træt af det danske vejr. Casper og Alfonso diskuterer derefter om det kunne være hans tur til Thailand, Månen eller Grækenland. Eller om han har været i Silkeborg eller Indonesien blandt andre. De finder denne gang frem til, at det er Alfonsos tur til Tasmanien, men det viser sig så, at det heller ikke var det emne han var kommet for at snakke om."
Alfred Balle,Frank Hvam,"Pædagog, dyrepsykolog og forfatter til lydbogen ""Jeg ved hvad du tænker, hund"". Alfred fortæller om og viser nye metoder til at dressere dyr. Bl.a. kan man vinde dyrs tillid ved at gnide sin underarm og albue mod dyrets forhoved. Når dyret skal tæmmes, skal man give det ordrer nedefra, f.eks. ved at man lægger sig under dyret og råber ordrer op imod dets bug og hage. Alfred fortæller desuden at krokodiller er blinde og derfor må finde vej ved at spørge isfugle til råds."
Ali Baba,Lars Hjortshøj,Lektor ved Københavns Hovedbanegård. Da Casper bliver bestrålet med uran kurerer Ali Casper ved at få ham til at kigge på et løg.
Aman Kril,Lasse Rimmer,Ekspert i sommertid.
Arne Hannover,Casper Christensen,Skumgummimand.
Beelzebub Komeseda,Frank Hvam,Skaberen af datingfirmaet Smykkeskrinet og forhenværende langtursgaffeltrucker.
Bent Tonse,Frank Hvam,"Mandrilseer nummer 1 milliard. Han kommer i studiet for at blive overrakt en kurv. Bent er ikke tilfreds med kurvens indhold, da han får at vide, at der i kurven mangler en paphjort. Bent Tonse siger, at han er blevet lovet en komplet kurv og mener ikke, at det batteri som Casper har lagt i kurven i stedet for paphjorten kan gøre det. Bent Tonse kræver erstatning og vil have en bil i stedet. Bent bliver mere og mere vred på Casper og vil ikke forlade studiet og kræver konstant mere og mere erstatning fra Casper."
Bjørn Thuesen,Frank Hvam,Hånd.
Bobby Palt,Lasse Rimmer,Adoptivfar.
Bobotis Bombastic,Lasse Rimmer,Hustroubadour.
Borger Louie,Frank Hvam,Borddækker med speciale i servietfoldning.
Bosse Johansson,John Cleese,Landstræner for Danmarks herre-fodboldlandshold.
Bratt Mogensen,Casper Christensen,Fantastisk til at arbejde med farver. Optræder med nummeret Lego Fugt.
